b'Date,Open,High,Low,Close,Adj Close,Volume
2021-08-12,57.400002,57.790001,56.869999,57.349998,56.589478,19225500
2021-08-13,57.029999,57.070000,56.299999,56.770000,56.017174,20056800
2021-08-16,56.020000,56.090000,55.270000,55.939999,55.198177,16959500
2021-08-17,55.500000,56.299999,55.000000,55.560001,54.823219,16243700
2021-08-18,55.419998,55.810001,54.310001,54.389999,53.668732,21890500
2021-08-19,53.470001,53.709999,52.099998,52.730000,52.030746,30923500
2021-08-20,52.270000,53.139999,52.110001,52.740002,52.040615,16915300
2021-08-23,53.950001,55.060001,53.950001,54.910000,54.181839,21632600
2021-08-24,55.290001,55.849998,55.009998,55.360001,54.625870,17915600
2021-08-25,55.240002,55.770000,54.869999,55.459999,54.724545,13270300
2021-08-26,55.200001,55.540001,54.630001,54.709999,53.984489,11842600
2021-08-27,55.400002,56.209999,55.400002,55.770000,55.030434,15817900
2021-08-30,56.240002,56.340000,55.119999,55.160000,54.428520,14086100
2021-08-31,54.930000,55.310001,54.459999,54.520000,53.797009,27104100
2021-09-01,54.490002,54.759998,53.599998,53.770000,53.056957,21644100
2021-09-02,54.290001,55.639999,54.270000,55.080002,54.349586,23293300
2021-09-03,55.119999,55.320000,54.599998,54.869999,54.142368,13840000
2021-09-07,54.669998,55.270000,54.470001,54.549999,53.826611,14354400
2021-09-08,54.790001,55.180000,54.009998,54.049999,53.333241,18756700
2021-09-09,53.619999,55.000000,53.299999,54.090000,53.372711,19110800
2021-09-10,55.189999,55.230000,53.950001,53.980000,53.264168,15116400
2021-09-13,54.650002,55.930000,54.619999,55.369999,54.635735,22052300
2021-09-14,55.689999,55.770000,54.410000,54.580002,53.856216,19940300
2021-09-15,55.369999,56.529999,55.310001,56.419998,55.671810,23240900
2021-09-16,56.459999,56.459999,55.500000,55.820000,55.079769,17907200
2021-09-17,55.340000,56.750000,55.099998,55.160000,54.428520,30000400
2021-09-20,53.779999,54.169998,52.959999,53.689999,52.978016,27555100
2021-09-21,54.369999,54.509998,53.250000,53.639999,52.928677,19696800
2021-09-22,54.430000,55.910000,54.369999,55.209999,54.477859,25690600
2021-09-23,55.419998,57.240002,55.279999,57.080002,56.323063,23069400
2021-09-24,56.700001,57.820000,56.680000,57.590000,56.826298,22328600
